,Airlines,Sources,Destinations,Duration,Total Stops,Date,Departure Time,Arrival Time,Prices
240,Air India,BOM,AMD,4h 55m,1 stop,2024-06-23,13:00,17:55,"₹ 23,405"
241,Air India,BOM,AMD,5h 20m,1 stop,2024-06-23,16:00,21:20,"₹ 23,623"
242,Air India,BOM,AMD,5h 45m,1 stop,2024-06-23,15:35,21:20,"₹ 25,552"
243,"Vistara, Air India",BOM,AMD,4h 50m,1 stop,2024-06-23,17:25,22:15,"₹ 62,259"
244,"Vistara, Air India",BOM,AMD,5h 20m,1 stop,2024-06-23,12:35,17:55,"₹ 62,259"
245,"Vistara, Air India",BOM,AMD,5h 35m,1 stop,2024-06-23,15:45,21:20,"₹ 62,259"
246,"Air India, Vistara",BOM,AMD,4h 55m,1 stop,2024-06-23,18:00,22:55,"₹ 64,735"
247,"Air India, Vistara",BOM,AMD,4h 45m,1 stop,2024-06-23,10:15,15:00,"₹ 65,725"
248,IndiGo,BOM,JLR,8h 55m,1 stop,2024-06-23,10:15,19:10,"₹ 20,782"
249,IndiGo,BOM,JLR,15h 45m,1 stop,2024-06-23,23:30,15:15+1,"₹ 17,401"
250,IndiGo,BOM,JLR,11h 05m,1 stop,2024-06-23,08:05,19:10,"₹ 20,455"
251,IndiGo,BOM,JLR,10h 00m,1 stop,2024-06-23,21:35,07:35+1,"₹ 20,286"
252,IndiGo,BOM,JLR,13h 05m,1 stop,2024-06-23,18:30,07:35+1,"₹ 20,286"
253,IndiGo,BOM,JLR,14h 45m,1 stop,2024-06-23,16:50,07:35+1,"₹ 20,636"
254,IndiGo,BOM,JLR,17h 00m,1 stop,2024-06-23,22:15,15:15+1,"₹ 17,455"
255,"SpiceJet, IndiGo",BOM,JLR,16h 05m,1 stop,2024-06-23,23:10,15:15+1,"₹ 17,623"
256,"Vistara, IndiGo",BOM,JLR,16h 25m,1 stop,2024-06-23,22:50,15:15+1,"₹ 17,876"
257,Multiple Airlines,BOM,JLR,15h 20m,2 stops,2024-06-23,23:55,15:15+1,"₹ 28,739"
258,SpiceJet,BOM,JLR,20h 25m,1 stop,2024-06-23,23:10,19:35+1,"₹ 23,922"
259,Air India,DEL,BOM,2h 20m,direct,2024-06-23,09:00,11:20,"₹ 5,503"
260,Vistara,DEL,BOM,2h 10m,direct,2024-06-23,09:30,11:40,"₹ 7,012"
261,SpiceJet,DEL,BOM,2h 15m,direct,2024-06-23,20:15,22:30,"₹ 6,118"
262,Air India,DEL,BOM,2h 25m,direct,2024-06-23,20:00,22:25,"₹ 6,645"
263,Akasa Air,DEL,BOM,2h 15m,direct,2024-06-23,10:50,13:05,"₹ 7,010"
264,Vistara,DEL,BOM,2h 15m,direct,2024-06-23,19:45,22:00,"₹ 7,012"
265,Vistara,DEL,BOM,2h 15m,direct,2024-06-23,19:00,21:15,"₹ 7,012"
266,Vistara,DEL,BOM,2h 25m,direct,2024-06-23,20:40,23:05,"₹ 7,012"
